artist,name,tag,amp1mean,amp1std,amp1skew,amp1kurt,amp1dmean,amp1dstd,amp1dskew,amp1dkurt,amp10mean,amp10std,amp10skew,amp10kurt,amp10dmean,amp10dstd,amp10dskew,amp10dkurt,amp100mean,amp100std,amp100skew,amp100kurt,amp100dmean,amp100dstd,amp100dskew,amp100dkurt,amp1000mean,amp1000std,amp1000skew,amp1000kurt,amp1000dmean,amp1000dstd,amp1000dskew,amp1000dkurt,power1,power2,power3,power4,power5,power6,power7,power8,power9,power10
Sergei Rachmaninoff ," Serenade, Op.wav 古典",古典,-43862.45578,48076285.1644,0.189927433165,10.8469300688,481.480104934,8910248.95212,0.0239626075039,7.99027668025,-43862.45578,42900927.1743,0.140730898689,11.5141564784,5585.46781559,59522893.8658,0.0391757922467,10.8041527006,-43862.45578,5480722.92937,0.0672495282088,11.045943092,4045.19985328,10367174.202,-0.000321033949527,11.7878332302,-43862.45578,363404.564852,1.67811788223,15.3255174828,5022.67723077,531514.107921,1.06707626751,13.5554040997,0.603624256737,0.150010951383,0.101927009334,0.0606739466067,0.0344171148952,0.0194076271637,0.0116628717242,0.00767241902348,0.00571678612026,0.00488701701191
Sergei Rachmaninoff , Sonata D.wav 古典,古典,-36483.63641,107152234.328,-0.0502923136601,4.82387696727,2.18457394858,22758732.1817,-0.0867136195925,5.3743013542,-36483.63641,96470653.1132,-0.0361833610267,4.90774308504,-759.599139971,98022695.382,-0.045548843078,4.97418242792,-36483.63641,21292156.4973,0.0656375920473,6.52592469684,-5985.30483495,35612300.9052,0.110126123641,7.1448722052,-36483.63641,1460157.37494,-0.0579194726063,6.48332231169,2544.98373244,2444521.26729,0.237260443977,6.64408316945,0.567398788473,0.228511549199,0.11507333626,0.057747581733,0.0183628964897,0.00588421238727,0.0031077349792,0.00179865367021,0.00119566857083,0.000919578237753
Sergei Rachmaninoff , Sonata No.wav 古典,古典,-46441.5579567,125223137.47,-0.0168126388954,9.7063854803,-36.919299731,20834612.7126,-0.0369461115977,10.805688668,-46441.5579567,115750635.664,-0.0455884641193,9.67787648572,-536.765942198,113401438.774,-0.0544468628026,9.78632420168,-46441.5579567,24622230.2864,0.0117011119086,9.44185031727,-560.965265088,43443323.3383,-0.0206421213483,9.44611250966,-46441.5579567,2969439.22394,0.944392925909,13.2316370241,-794.553762542,5118221.36369,-0.77588986797,11.8998616815,0.659176603737,0.202728700248,0.0782447621552,0.0245150005097,0.0139901245443,0.00884396793634,0.00519919550423,0.00318873776651,0.00231473420917,0.0017981733894
Sergei Rachmaninoff , Spinnerlied.wav 古典,古典,-31088.8517433,59736334.3564,-0.0285792234886,5.59225121423,-40.8515361718,10580897.2087,-0.0250099391132,6.73832938569,-31088.8517433,53720592.9946,-0.0255162466016,5.30866518755,992.044781493,66451146.2162,-0.0824211565975,5.48757078799,-31088.8517433,8189054.55838,-0.211384630245,5.72506840673,247.156965655,14521121.1134,-0.0397307124704,5.52399886744,-31088.8517433,826251.988597,-0.449728015137,6.37710037013,2333.03006355,1405324.11378,0.0343447740371,6.58740649447,0.699806050346,0.171446274001,0.0525513261607,0.0287441877527,0.020605101545,0.0120826036936,0.00628943840552,0.00365868436901,0.00262125962889,0.00219507409799
Sergei Rachmaninoff , Spinning Song_Spinnerlied.wav 古典,古典,-34129.76705,60095644.4204,-0.0337176487131,7.74951345026,-226.540318468,10405560.8333,-0.197745012135,9.20361486812,-34129.76705,53764154.0058,0.00443555039177,7.23640609432,-2150.77762259,74165282.0645,-0.104841089049,9.22004258869,-34129.76705,5913750.80372,0.0188160465826,5.31813722217,-543.264384795,10008209.5488,-0.0417656764891,5.15086555233,-34129.76705,610852.227932,0.2342504911,4.79095312834,-1021.41285953,1039082.34218,-0.138020463341,5.18908181572,0.750245426993,0.10785000791,0.0492052000656,0.0375564534989,0.0233381736152,0.0132591894827,0.00765551594806,0.0047373156668,0.00338447159721,0.00276824522305
Sergei Rachmaninoff , Symphony No.wav 古典,古典,-24334.41134,23287915.2823,0.186083252484,5.02724519376,-82.1399904666,2802756.84288,0.179509970829,5.13232014447,-24334.41134,22198693.4547,0.154247832601,5.01119701807,-752.608323611,20878165.4182,0.291668319018,5.27196081794,-24334.41134,3343408.74001,0.131642412007,5.36051842937,2607.49408469,5146949.98366,-0.140194058635,8.88334674437,-24334.41134,394856.083342,-0.071186962248,3.37381310071,-1561.9286087,674755.948989,0.25089562687,3.4731059658,0.679200484171,0.117245061969,0.0569707131385,0.0443384710685,0.0388878691284,0.0278362416005,0.0156472651316,0.00900640248995,0.00615290117501,0.00471459012788
Sergei Rachmaninoff , Theme and Variations.wav 古典,古典,-59079.92876,27095408.5036,-0.0832982333166,9.5202420193,-45.0022233407,5659010.02717,-0.426359187048,10.1438890844,-59079.92876,23518355.9352,-0.143291161184,9.02150066032,-113.164335478,32956284.0283,-0.543725991523,10.3156560759,-59079.92876,2818118.53453,-0.100284030692,8.78714835072,-12.0190963655,5086877.07627,0.00546886968749,9.53503602904,-59079.92876,267754.093713,0.067455993344,6.25718291017,20.3849364549,441035.356099,-0.0399519219075,7.08741936163,0.559448889108,0.248109121113,0.0957945836678,0.0496540898259,0.0229430659693,0.0114062649211,0.00495600041277,0.00311409948865,0.00242645780777,0.00214742768612
Sergei Rachmaninoff ," Vocalise, Op.wav 古典",古典,-31035.42584,34037410.2196,0.060305647845,7.14946344221,109.010240034,18249835.713,0.0438409064919,8.17818668249,-31035.42584,19395307.1368,-0.0153975383625,5.86458654821,213.220790693,27890794.108,0.0693887954646,6.35231755578,-31035.42584,3216974.8871,-0.0704245525805,5.20596690806,1094.39561854,5640765.53556,-0.00727844463134,5.6407898494,-31035.42584,296152.721917,-0.209544598648,4.01052520242,1847.96496656,493710.883028,-0.0772161564,4.06870499907,0.255020007809,0.235933868089,0.352712628489,0.0989207367848,0.0305137081655,0.0141747987851,0.00653606977111,0.00320610384508,0.00181109947751,0.0011709787835
Sergei Rachmaninoff ," Waltz, Op.wav 古典",古典,-29467.03311,58806732.6263,-0.0644466687782,7.42910944043,-73.1832239441,13246216.0717,0.186369763528,6.65631851243,-29467.03311,49480486.8099,-0.0500445357302,7.46114433314,363.305543518,77168703.7071,0.0550366190885,7.67196995435,-29467.03311,5941746.43682,0.267313855516,8.23752533255,848.331653885,10782422.3189,-0.109158368512,8.3988172854,-29467.03311,572692.867868,-0.16574380388,10.2237449207,1335.07001003,1009165.09899,-0.0989809071742,8.98942651631,0.588397363348,0.19047091548,0.0837477891872,0.0657066871332,0.0335531108817,0.0168541219264,0.00915368560568,0.00544202833419,0.00370008359643,0.00297421450754
Sergei Rachmaninoff , Wohin The Booklet.wav 古典,古典,-33257.2531133,51461408.6114,0.0460318001335,9.16954395035,36.7008523362,8891588.30084,0.206859170171,12.017936101,-33257.2531133,46269556.7578,0.0418196023288,8.96301349149,18.132521084,60710157.4551,0.115132530296,10.3414966868,-33257.2531133,6811280.32922,0.000178477099211,7.08506728228,-1006.10995999,11569569.3596,0.432927388994,7.43389822969,-33257.2531133,641320.271968,0.0664443035507,4.48503436071,-2727.56655853,1079703.02624,0.303100649021,4.76633755802,0.701089398867,0.147913385488,0.0556635656501,0.035038001061,0.0259251664339,0.0151807607496,0.0081155224778,0.00479473072279,0.00344696272202,0.00283250582863
